Department,Date,Candidness,Candidness_Box,Assertive,Assertive_Box,Helping,Helping_Box,Self_Confidence,Self_Confidence_Box,Stress_Mngt,Stress_Mngt_Box,Achievement,Achievement_Box,Energy,Energy_Box,Sales_Ability,Sales_Ability_Box
employee,7/8/2014,70,Moderate,99,High,67,Moderate,58,Moderate,49,Moderate,83,High,96,High,27,Low
candidate,7/29/2014,99,High,52,Moderate,35,Moderate,19,Low,4,Low,65,Moderate,95,High,31,Moderate
candidate,7/11/2014,85,High,68,Moderate,93,High,85,High,69,High,75,Moderate,98,High,90,High
employee,8/22/2014,42,Moderate,85,High,73,High,19,Low,9,Low,83,High,97,High,72,High
candidate,7/29/2014,56,Moderate,41,Moderate,35,Moderate,51,Moderate,49,Moderate,34,Low,77,Moderate,72,High
candidate,7/21/2014,56,Moderate,73,Moderate,88,High,74,High,69,High,65,Moderate,98,High,90,High
candidate,7/14/2014,42,Moderate,82,High,35,Moderate,91,High,24,Moderate,95,High,41,Moderate,90,High
candidate,,85,,85,,60,Moderate,12,Low,3,Low,34,Low,99,High,27,Moderate
candidate,7/21/2014,56,Moderate,82,High,60,Moderate,63,Moderate,74,High,53,Moderate,82,High,77,High
candidate,7/21/2014,99,High,46,Moderate,93,High,12,Low,30,Moderate,15,Low,82,High,53,Moderate
candidate,7/8/2014,56,Moderate,88,High,51,Moderate,69,High,62,Moderate,92,High,73,Moderate,72,High
candidate,7/21/2014,85,High,82,High,51,Moderate,19,Low,19,Low,88,High,85,High,38,Moderate
employee,7/18/2014,99,High,95,High,95,High,95,High,97,High,97,High,99,High,99,High
candidate,7/29/2014,42,Moderate,98,High,60,Moderate,91,High,74,High,70,Moderate,96,High,59,Moderate
candidate,7/21/2014,14,Low,91,High,67,Moderate,96,High,89,High,92,High,98,High,95,High
candidate,7/14/2014,99,High,99,High,98,High,51,Moderate,49,Moderate,97,High,97,High,65,Moderate
candidate,7/22/2014,97,High,88,High,51,Moderate,74,High,36,Moderate,60,Moderate,68,Moderate,53,Moderate
employee,7/11/2014,99,High,36,Low,43,Moderate,15,Low,24,Moderate,9,Low,36,Low,53,Moderate
candidate,7/22/2014,42,Moderate,97,High,84,High,40,Moderate,91,High,83,High,96,High,95,High
employee,7/15/2014,99,High,63,Moderate,28,Moderate,63,Moderate,69,High,99,High,82,High,53,Moderate
candidate,7/21/2014,14,Low,46,Moderate,60,Moderate,93,High,83,High,60,Moderate,68,Moderate,65,Moderate
candidate,7/21/2014,99,High,58,Moderate,43,Moderate,19,Low,49,Moderate,41,Moderate,68,Moderate,65,Moderate
candidate,7/24/2014,99,High,88,High,73,High,19,Low,4,Low,34,Low,77,Moderate,45,Moderate
candidate,7/28/2014,70,Moderate,88,High,51,Moderate,95,High,74,High,95,High,99,High,85,High
candidate,7/21/2014,99,High,95,High,95,High,95,High,56,Moderate,91,High,96,High,97,High
candidate,7/15/2014,42,Moderate,36,Low,35,Moderate,83,High,24,Moderate,95,High,77,Moderate,31,Moderate
candidate,7/21/2014,97,High,73,Moderate,60,Moderate,34,Moderate,2,Low,82,Moderate,73,Moderate,14,Low
candidate,7/20/2014,8,Low,96,High,67,Moderate,79,High,89,High,53,Moderate,88,High,97,High
candidate,7/13/2014,97,High,78,Moderate,35,Moderate,69,High,49,Moderate,70,Moderate,97,High,93,High
candidate,7/24/2014,21,Low,85,High,8,Low,58,Moderate,62,Moderate,47,Moderate,82,High,81,High
candidate,7/14/2014,56,Moderate,26,Low,73,High,69,High,16,Low,53,Moderate,91,High,53,Moderate
candidate,7/21/2014,70,Moderate,85,High,21,Low,91,High,9,Low,70,Moderate,82,High,81,High
candidate,7/11/2014,99,High,85,High,67,Moderate,46,Moderate,4,Low,47,Moderate,73,Moderate,72,High
candidate,7/15/2014,85,High,88,High,88,High,69,High,79,High,70,Moderate,97,High,27,Low
candidate,7/16/2014,97,High,93,High,60,Moderate,91,High,79,High,98,High,99,High,97,High
candidate,7/18/2014,85,High,95,High,21,Low,40,Moderate,42,Moderate,91,High,93,High,72,High
candidate,7/15/2014,85,High,82,High,43,Moderate,63,Moderate,30,Moderate,82,Moderate,82,High,45,Moderate
candidate,7/21/2014,97,High,58,Moderate,43,Moderate,74,High,74,High,82,Moderate,88,High,98,High
candidate,7/14/2014,85,High,52,Moderate,73,High,24,Low,42,Moderate,41,Moderate,57,Moderate,27,Low
employee,7/21/2014,42,Moderate,85,High,43,Moderate,58,Moderate,56,Moderate,82,Moderate,82,High,81,High
employee,7/24/2014,99,High,2,Low,21,Low,2,Low,7,Low,12,Low,31,Low,21,Low
employee,8/22/2014,99,High,52,Moderate,67,Moderate,19,Low,7,Low,65,Moderate,31,Low,45,Moderate
candidate,7/28/2014,31,Low,7,Low,60,Moderate,15,Low,19,Low,19,Low,41,Moderate,72,High
employee,7/16/2014,85,High,97,High,35,Moderate,93,High,36,Moderate,92,High,91,High,31,Moderate
employee,7/21/2014,97,High,46,Moderate,5,Low,15,Low,12,Low,65,Moderate,52,Moderate,45,Moderate
candidate,7/23/2014,70,Moderate,63,Moderate,51,Moderate,29,Moderate,9,Low,41,Moderate,77,Moderate,53,Moderate
candidate,7/21/2014,31,Low,31,Low,84,High,40,Moderate,49,Moderate,41,Moderate,88,High,85,High
candidate,,42,,58,,35,Moderate,29,Low,9,Moderate,7,Moderate,85,High,17,Low
employee,7/17/2014,70,Moderate,93,High,16,Low,85,High,62,Moderate,83,High,77,Moderate,31,Moderate
candidate,7/28/2014,99,High,99,High,60,Moderate,93,High,74,High,53,Moderate,88,High,65,Moderate
candidate,7/16/2014,42,Moderate,82,High,73,High,85,High,69,High,70,Moderate,96,High,72,High
candidate,7/10/2014,99,High,88,High,28,Moderate,58,Moderate,83,High,83,High,99,High,85,High
candidate,7/2/2014,70,Moderate,91,High,67,Moderate,85,High,24,Moderate,83,High,97,High,93,High
candidate,7/18/2014,99,High,63,Moderate,16,Low,34,Moderate,16,Low,60,Moderate,52,Moderate,59,Moderate
candidate,7/21/2014,99,High,85,High,88,High,51,Moderate,69,High,92,High,97,High,97,High
candidate,7/14/2014,99,High,97,High,80,High,85,High,42,Moderate,97,High,73,Moderate,21,Low
candidate,7/28/2014,97,High,96,High,16,Low,93,High,74,High,99,High,98,High,77,High
candidate,7/22/2014,70,Moderate,68,Moderate,67,Moderate,29,Moderate,24,Moderate,75,Moderate,85,High,65,Moderate
candidate,7/31/2014,56,Moderate,96,High,67,Moderate,63,Moderate,56,Moderate,94,High,95,High,90,High
candidate,7/10/2014,70,Moderate,85,High,73,High,69,High,42,Moderate,88,High,88,High,85,High
candidate,7/17/2014,21,Low,58,Moderate,3,Low,3,Low,30,Moderate,60,Moderate,52,Moderate,11,Low
candidate,7/8/2014,99,High,99,High,99,High,9,Low,69,High,96,High,97,High,31,Moderate
candidate,7/25/2014,56,Moderate,52,Moderate,21,Low,91,High,94,High,88,High,97,High,99,High
candidate,7/21/2014,31,Low,78,Moderate,43,Moderate,63,Moderate,69,High,82,Moderate,82,High,53,Moderate
candidate,7/25/2014,85,High,52,Moderate,35,Moderate,79,High,74,High,53,Moderate,52,Moderate,85,High
candidate,7/22/2014,31,Low,95,High,80,High,85,High,12,Low,98,High,73,Moderate,59,Moderate
employee,8/26/2014,56,Moderate,95,High,60,Moderate,63,Moderate,49,Moderate,75,Moderate,98,High,21,Low
candidate,7/13/2014,99,High,85,High,51,Moderate,15,Low,3,Low,41,Moderate,88,High,53,Moderate
candidate,7/16/2014,99,High,96,High,73,High,40,Moderate,30,Moderate,97,High,85,High,81,High
employee,8/26/2014,97,High,82,High,51,Moderate,9,Low,30,Moderate,65,Moderate,93,High,27,Low
candidate,7/28/2014,99,High,95,High,51,Moderate,69,High,19,Low,85,High,98,High,45,Moderate
candidate,8/22/2014,99,High,41,Moderate,67,Moderate,3,Low,2,Low,2,Low,68,Moderate,17,Low
candidate,7/10/2014,97,High,95,High,67,Moderate,85,High,69,High,85,High,95,High,77,High
candidate,7/8/2014,85,High,93,High,51,Moderate,83,High,74,High,75,Moderate,91,High,45,Moderate
candidate,7/23/2014,99,High,91,High,80,High,46,Moderate,16,Low,29,Low,95,High,98,High
candidate,7/21/2014,70,Moderate,63,Moderate,67,Moderate,12,Low,9,Low,24,Low,77,Moderate,53,Moderate
candidate,7/8/2014,70,Moderate,46,Moderate,28,Moderate,19,Low,30,Moderate,53,Moderate,82,High,81,High
candidate,7/14/2014,85,High,95,High,43,Moderate,85,High,74,High,91,High,95,High,38,Moderate
candidate,7/17/2014,21,Low,91,High,93,High,69,High,56,Moderate,70,Moderate,97,High,85,High
candidate,7/2/2014,70,Moderate,46,Moderate,8,Low,29,Moderate,4,Low,29,Low,36,Low,1,Low
employee,7/17/2014,3,Low,96,High,98,High,96,High,91,High,83,High,98,High,90,High
candidate,7/18/2014,99,High,88,High,67,Moderate,51,Moderate,16,Low,34,Low,91,High,81,High
candidate,7/14/2014,31,Low,68,Moderate,60,Moderate,74,High,24,Moderate,65,Moderate,82,High,85,High
candidate,7/23/2014,70,Moderate,46,Moderate,73,High,40,Moderate,49,Moderate,9,Low,68,Moderate,65,Moderate
employee,7/16/2014,85,High,95,High,21,Low,51,Moderate,79,High,85,High,98,High,38,Moderate
candidate,7/17/2014,85,High,98,High,35,Moderate,83,High,16,Low,96,High,82,High,21,Low
candidate,7/8/2014,99,High,41,Moderate,43,Moderate,51,Moderate,16,Low,60,Moderate,73,Moderate,72,High
candidate,7/31/2014,99,High,99,High,21,Low,69,High,56,Moderate,97,High,77,Moderate,72,High
candidate,7/17/2014,99,High,22,Low,67,Moderate,29,Moderate,56,Moderate,41,Moderate,88,High,38,Moderate
employee,7/15/2014,99,High,99,High,28,Moderate,98,High,83,High,98,High,99,High,45,Moderate
candidate,7/19/2014,85,High,63,Moderate,5,Low,89,High,5,Low,99,High,77,Moderate,38,Moderate
candidate,7/9/2014,85,High,8,Low,60,Moderate,58,Moderate,83,High,91,High,68,Moderate,31,Moderate
candidate,7/23/2014,70,Moderate,91,High,43,Moderate,40,Moderate,36,Moderate,83,High,91,High,97,High
candidate,7/26/2014,97,High,97,High,98,High,40,Moderate,93,High,97,High,98,High,93,High
candidate,7/17/2014,70,Moderate,78,Moderate,28,Moderate,83,High,62,Moderate,99,High,85,High,31,Moderate
candidate,7/10/2014,56,Moderate,52,Moderate,51,Moderate,24,Low,36,Moderate,34,Low,73,Moderate,65,Moderate
candidate,7/14/2014,31,Low,97,High,73,High,91,High,93,High,97,High,91,High,99,High
candidate,7/9/2014,31,Low,96,High,28,Moderate,83,High,24,Moderate,92,High,85,High,53,Moderate
employee,7/2/2014,85,High,91,High,80,High,74,High,56,Moderate,91,High,82,High,45,Moderate
candidate,7/18/2014,99,High,36,Low,8,Low,29,Moderate,12,Low,24,Low,57,Moderate,38,Moderate
candidate,7/22/2014,99,High,88,High,73,High,34,Moderate,56,Moderate,88,High,93,High,77,High
candidate,7/14/2014,70,Moderate,73,Moderate,28,Moderate,58,Moderate,1,Low,53,Moderate,91,High,81,High
candidate,7/15/2014,21,Low,73,Moderate,51,Moderate,85,High,69,High,91,High,96,High,90,High
candidate,7/16/2014,99,High,82,High,60,Moderate,40,Moderate,30,Moderate,97,High,82,High,53,Moderate
employee,7/16/2014,97,High,91,High,73,High,74,High,42,Moderate,47,Moderate,91,High,21,Low
candidate,7/23/2014,99,High,99,High,43,Moderate,58,Moderate,19,Low,88,High,96,High,65,Moderate
candidate,7/16/2014,8,Low,99,High,97,High,99,High,99,High,97,High,96,High,93,High
candidate,7/16/2014,99,High,78,Moderate,4,Low,46,Moderate,7,Low,96,High,93,High,45,Moderate
candidate,7/15/2014,85,High,36,Low,35,Moderate,19,Low,36,Moderate,60,Moderate,77,Moderate,72,High
candidate,7/29/2014,21,Low,78,Moderate,91,High,85,High,79,High,85,High,91,High,93,High
candidate,7/9/2014,99,High,99,High,16,Low,40,Moderate,42,Moderate,99,High,99,High,65,Moderate
candidate,7/25/2014,1,Low,52,Moderate,35,Moderate,99,High,99,High,99,High,96,High,93,High
candidate,7/22/2014,42,Moderate,31,Low,60,Moderate,63,Moderate,74,High,70,Moderate,82,High,72,High
candidate,7/10/2014,99,High,58,Moderate,73,High,51,Moderate,16,Low,83,High,95,High,97,High
candidate,7/20/2014,21,Low,88,High,80,High,51,Moderate,74,High,88,High,88,High,53,Moderate
candidate,7/28/2014,99,High,85,High,67,Moderate,15,Low,49,Moderate,47,Moderate,77,Moderate,38,Moderate
candidate,7/24/2014,56,Moderate,78,Moderate,43,Moderate,85,High,30,Moderate,99,High,96,High,81,High
candidate,7/23/2014,56,Moderate,97,High,60,Moderate,83,High,56,Moderate,88,High,99,High,65,Moderate
candidate,7/23/2014,56,Moderate,82,High,43,Moderate,79,High,56,Moderate,88,High,77,Moderate,90,High
candidate,7/22/2014,99,High,63,Moderate,80,High,46,Moderate,30,Moderate,70,Moderate,88,High,85,High
candidate,7/19/2014,99,High,73,Moderate,28,Moderate,46,Moderate,36,Moderate,96,High,91,High,90,High
candidate,7/18/2014,70,Moderate,15,Low,43,Moderate,9,Low,12,Low,15,Low,46,Moderate,45,Moderate
candidate,7/22/2014,99,High,91,High,93,High,46,Moderate,30,Moderate,83,High,95,High,95,High
candidate,7/21/2014,56,Moderate,97,High,28,Moderate,91,High,83,High,97,High,98,High,11,Low
candidate,7/25/2014,70,Moderate,68,Moderate,91,High,58,Moderate,30,Moderate,65,Moderate,99,High,59,Moderate
candidate,7/23/2014,8,Low,73,Moderate,84,High,85,High,83,High,85,High,68,Moderate,77,High
candidate,7/14/2014,70,Moderate,68,Moderate,28,Moderate,69,High,36,Moderate,60,Moderate,85,High,59,Moderate
candidate,7/23/2014,99,High,99,High,21,Low,15,Low,7,Low,85,High,91,High,31,Moderate
employee,7/15/2014,99,High,26,Low,43,Moderate,19,Low,2,Low,7,Low,88,High,85,High
candidate,7/21/2014,99,High,78,Moderate,43,Moderate,24,Low,19,Low,70,Moderate,68,Moderate,65,Moderate
employee,7/11/2014,99,High,85,High,98,High,58,Moderate,56,Moderate,99,High,96,High,99,High
candidate,7/14/2014,21,Low,96,High,95,High,63,Moderate,74,High,88,High,99,High,77,High
candidate,7/23/2014,56,Moderate,95,High,28,Moderate,58,Moderate,12,Low,94,High,98,High,59,Moderate
candidate,7/20/2014,97,High,93,High,60,Moderate,58,Moderate,56,Moderate,97,High,96,High,27,Low
candidate,7/8/2014,21,Low,63,Moderate,60,Moderate,9,Low,42,Moderate,83,High,98,High,45,Moderate
candidate,7/23/2014,21,Low,31,Low,28,Moderate,19,Low,19,Low,34,Low,63,Moderate,31,Moderate
candidate,7/14/2014,99,High,58,Moderate,21,Low,74,High,42,Moderate,85,High,73,Moderate,81,High
employee,7/16/2014,21,Low,73,Moderate,73,High,98,High,89,High,75,Moderate,82,High,53,Moderate
employee,7/21/2014,85,High,7,Low,73,High,29,Moderate,42,Moderate,34,Low,52,Moderate,38,Moderate
candidate,7/15/2014,85,High,91,High,84,High,85,High,69,High,91,High,68,Moderate,77,High
candidate,7/14/2014,99,High,88,High,93,High,51,Moderate,1,Low,82,Moderate,73,Moderate,65,Moderate
candidate,7/8/2014,21,Low,99,High,43,Moderate,51,Moderate,24,Moderate,88,High,95,High,77,High
candidate,7/17/2014,56,Moderate,95,High,43,Moderate,58,Moderate,56,Moderate,53,Moderate,85,High,81,High
candidate,7/23/2014,85,High,68,Moderate,35,Moderate,15,Low,3,Low,12,Low,31,Low,72,High
candidate,7/9/2014,99,High,68,Moderate,51,Moderate,46,Moderate,19,Low,65,Moderate,46,Moderate,45,Moderate
candidate,7/10/2014,99,High,93,High,43,Moderate,19,Low,36,Moderate,91,High,57,Moderate,17,Low
employee,7/16/2014,42,Moderate,26,Low,91,High,91,High,49,Moderate,97,High,77,Moderate,85,High
candidate,7/16/2014,99,High,93,High,67,Moderate,29,Moderate,3,Low,82,Moderate,77,Moderate,45,Moderate
candidate,7/23/2014,85,High,68,Moderate,35,Moderate,79,High,36,Moderate,29,Low,85,High,45,Moderate
candidate,7/13/2014,99,High,31,Low,51,Moderate,40,Moderate,19,Low,24,Low,91,High,81,High
candidate,7/25/2014,56,Moderate,99,High,91,High,79,High,97,High,92,High,99,High,93,High
employee,7/16/2014,85,High,22,Low,60,Moderate,63,Moderate,19,Low,83,High,52,Moderate,17,Low
candidate,8/1/2014,70,Moderate,96,High,73,High,63,Moderate,30,Moderate,83,High,63,Moderate,72,High
employee,7/18/2014,97,High,52,Moderate,21,Low,40,Moderate,49,Moderate,29,Low,82,High,85,High
candidate,7/22/2014,99,High,26,Low,51,Moderate,29,Moderate,30,Moderate,65,Moderate,77,Moderate,85,High
candidate,7/31/2014,56,Moderate,88,High,84,High,51,Moderate,24,Moderate,88,High,82,High,90,High
candidate,7/21/2014,70,Moderate,73,Moderate,51,Moderate,89,High,83,High,95,High,99,High,90,High
candidate,7/24/2014,85,High,88,High,73,High,29,Moderate,19,Low,47,Moderate,91,High,77,High
employee,7/23/2014,56,Moderate,41,Moderate,67,Moderate,19,Low,49,Moderate,88,High,63,Moderate,81,High
employee,7/16/2014,99,High,15,Low,91,High,58,Moderate,5,Low,92,High,63,Moderate,31,Moderate
candidate,7/17/2014,99,High,58,Moderate,43,Moderate,19,Low,36,Moderate,88,High,88,High,59,Moderate
candidate,7/31/2014,56,Moderate,68,Moderate,28,Moderate,63,Moderate,69,High,75,Moderate,91,High,17,Low
candidate,7/16/2014,99,High,95,High,51,Moderate,99,High,16,Low,83,High,97,High,95,High
candidate,7/28/2014,99,High,99,High,97,High,91,High,49,Moderate,99,High,99,High,99,High
candidate,7/8/2014,70,Moderate,46,Moderate,84,High,91,High,96,High,65,Moderate,96,High,99,High
employee,7/22/2014,14,Low,58,Moderate,28,Moderate,79,High,69,High,96,High,91,High,72,High
candidate,7/23/2014,56,Moderate,78,Moderate,16,Low,74,High,30,Moderate,82,Moderate,85,High,72,High
employee,7/11/2014,99,High,99,High,35,Moderate,85,High,36,Moderate,97,High,98,High,21,Low
candidate,7/30/2014,97,High,98,High,97,High,98,High,91,High,99,High,99,High,72,High
candidate,7/24/2014,99,High,78,Moderate,21,Low,95,High,12,Low,94,High,73,Moderate,97,High
candidate,7/8/2014,97,High,96,High,60,Moderate,91,High,86,High,97,High,98,High,85,High
candidate,7/14/2014,99,High,88,High,60,Moderate,46,Moderate,56,Moderate,53,Moderate,99,High,59,Moderate
candidate,7/22/2014,5,Low,98,High,99,High,99,High,94,High,99,High,99,High,99,High
candidate,,8,,63,,84,High,40,High,56,High,60,Moderate,46,High,53,High
candidate,7/23/2014,97,High,91,High,60,Moderate,74,High,36,Moderate,88,High,93,High,97,High
employee,7/22/2014,56,Moderate,78,Moderate,43,Moderate,46,Moderate,62,Moderate,97,High,95,High,72,High
candidate,7/13/2014,99,High,88,High,11,Low,24,Low,2,Low,88,High,36,Low,90,High
employee,7/16/2014,56,Moderate,93,High,93,High,95,High,30,Moderate,97,High,82,High,77,High
candidate,7/18/2014,31,Low,26,Low,73,High,69,High,24,Moderate,24,Low,68,Moderate,72,High
candidate,7/24/2014,99,High,82,High,35,Moderate,12,Low,36,Moderate,88,High,73,Moderate,14,Low
candidate,7/21/2014,99,High,58,Moderate,67,Moderate,51,Moderate,12,Low,70,Moderate,82,High,31,Moderate
candidate,7/16/2014,31,Low,96,High,67,Moderate,69,High,62,Moderate,91,High,99,High,65,Moderate
candidate,7/14/2014,99,High,91,High,67,Moderate,63,Moderate,30,Moderate,70,Moderate,93,High,53,Moderate
employee,8/25/2014,99,High,2,Low,60,Moderate,2,Low,1,Low,1,Low,82,High,31,Moderate
candidate,7/15/2014,70,Moderate,73,Moderate,73,High,40,Moderate,56,Moderate,70,Moderate,82,High,81,High
candidate,7/27/2014,97,High,88,High,8,Low,34,Moderate,24,Moderate,60,Moderate,91,High,59,Moderate
candidate,7/18/2014,14,Low,52,Moderate,73,High,58,Moderate,42,Moderate,41,Moderate,98,High,93,High
employee,7/22/2014,1,Low,99,High,97,High,99,High,98,High,99,High,99,High,98,High
candidate,7/17/2014,99,High,82,High,67,Moderate,63,Moderate,49,Moderate,75,Moderate,85,High,95,High
employee,7/16/2014,99,High,85,High,35,Moderate,34,Moderate,19,Low,65,Moderate,77,Moderate,72,High
candidate,7/8/2014,31,Low,99,High,99,High,99,High,99,High,99,High,99,High,90,High
candidate,7/14/2014,14,Low,63,Moderate,35,Moderate,69,High,16,Low,85,High,97,High,17,Low
candidate,7/21/2014,31,Low,95,High,51,Moderate,83,High,74,High,94,High,97,High,93,High
candidate,7/14/2014,99,High,78,Moderate,60,Moderate,79,High,42,Moderate,85,High,77,Moderate,59,Moderate
candidate,7/21/2014,56,Moderate,73,Moderate,43,Moderate,34,Moderate,9,Low,82,Moderate,96,High,72,High
candidate,7/9/2014,99,High,26,Low,11,Low,83,High,74,High,60,Moderate,73,Moderate,65,Moderate
employee,7/22/2014,31,Low,82,High,21,Low,63,Moderate,42,Moderate,70,Moderate,91,High,53,Moderate
candidate,7/15/2014,31,Low,97,High,98,High,91,High,74,High,92,High,99,High,59,Moderate
employee,7/22/2014,42,Moderate,63,Moderate,67,Moderate,69,High,62,Moderate,65,Moderate,77,Moderate,27,Low
candidate,7/21/2014,42,Moderate,68,Moderate,5,Low,24,Low,42,Moderate,41,Moderate,63,Moderate,11,Low
employee,7/14/2014,99,High,98,High,67,Moderate,74,High,42,Moderate,96,High,85,High,53,Moderate
candidate,7/14/2014,99,High,46,Moderate,16,Low,19,Low,19,Low,82,Moderate,88,High,77,High
candidate,7/15/2014,70,Moderate,97,High,16,Low,58,Moderate,42,Moderate,2,Low,41,Moderate,38,Moderate
candidate,7/23/2014,97,High,96,High,80,High,79,High,49,Moderate,94,High,96,High,72,High
candidate,7/30/2014,21,Low,88,High,35,Moderate,83,High,74,High,94,High,96,High,45,Moderate
candidate,7/10/2014,70,Moderate,96,High,35,Moderate,85,High,89,High,94,High,63,Moderate,65,Moderate
candidate,7/9/2014,99,High,78,Moderate,28,Moderate,63,Moderate,49,Moderate,88,High,73,Moderate,59,Moderate
candidate,7/10/2014,99,High,31,Low,84,High,51,Moderate,30,Moderate,53,Moderate,68,Moderate,38,Moderate
candidate,7/24/2014,42,Moderate,73,Moderate,21,Low,40,Moderate,19,Low,70,Moderate,96,High,81,High
employee,8/26/2014,42,Moderate,46,Moderate,60,Moderate,40,Moderate,7,Low,41,Moderate,82,High,31,Moderate
candidate,7/15/2014,99,High,41,Moderate,8,Low,15,Low,12,Low,24,Low,85,High,21,Low
candidate,7/22/2014,97,High,41,Moderate,91,High,46,Moderate,5,Low,47,Moderate,57,Moderate,59,Moderate
candidate,7/21/2014,56,Moderate,52,Moderate,28,Moderate,63,Moderate,56,Moderate,91,High,68,Moderate,59,Moderate
candidate,7/8/2014,31,Low,88,High,80,High,74,High,19,Low,88,High,93,High,31,Moderate
candidate,7/21/2014,31,Low,93,High,43,Moderate,69,High,74,High,88,High,91,High,45,Moderate
candidate,7/14/2014,99,High,85,High,43,Moderate,34,Moderate,19,Low,47,Moderate,85,High,59,Moderate
candidate,7/21/2014,99,High,88,High,99,High,58,Moderate,56,Moderate,95,High,98,High,98,High
candidate,7/11/2014,56,Moderate,99,High,80,High,97,High,79,High,92,High,99,High,77,High
employee,7/21/2014,85,High,91,High,51,Moderate,40,Moderate,42,Moderate,82,Moderate,77,Moderate,4,Low
employee,7/16/2014,99,High,78,Moderate,21,Low,63,Moderate,9,Low,7,Low,77,Moderate,65,Moderate
candidate,7/15/2014,99,High,78,Moderate,28,Moderate,15,Low,42,Moderate,34,Low,77,Moderate,9,Low
candidate,7/17/2014,99,High,52,Moderate,51,Moderate,24,Low,36,Moderate,29,Low,57,Moderate,85,High
candidate,7/28/2014,56,Moderate,95,High,80,High,99,High,93,High,98,High,77,Moderate,31,Moderate
employee,8/25/2014,99,High,73,Moderate,35,Moderate,2,Low,1,Low,19,Low,63,Moderate,53,Moderate
candidate,7/21/2014,97,High,91,High,88,High,63,Moderate,62,Moderate,60,Moderate,88,High,72,High
candidate,7/21/2014,8,Low,96,High,67,Moderate,97,High,99,High,99,High,99,High,21,Low
candidate,7/23/2014,97,High,68,Moderate,67,Moderate,24,Low,30,Moderate,99,High,91,High,72,High
candidate,7/18/2014,85,High,26,Low,35,Moderate,24,Low,24,Moderate,29,Low,77,Moderate,72,High
employee,7/17/2014,99,High,31,Low,60,Moderate,6,Low,4,Low,41,Moderate,77,Moderate,53,Moderate
candidate,7/17/2014,99,High,31,Low,95,High,85,High,89,High,65,Moderate,57,Moderate,93,High
employee,7/16/2014,97,High,85,High,80,High,63,Moderate,19,Low,97,High,95,High,90,High
candidate,7/16/2014,31,Low,52,Moderate,84,High,91,High,42,Moderate,24,Low,57,Moderate,81,High
employee,7/23/2014,56,Moderate,99,High,91,High,98,High,69,High,99,High,95,High,97,High
candidate,7/22/2014,99,High,63,Moderate,51,Moderate,74,High,12,Low,75,Moderate,77,Moderate,59,Moderate
candidate,7/21/2014,85,High,58,Moderate,67,Moderate,58,Moderate,30,Moderate,47,Moderate,95,High,65,Moderate
candidate,7/21/2014,14,Low,88,High,60,Moderate,58,Moderate,42,Moderate,92,High,82,High,45,Moderate
employee,7/16/2014,99,High,99,High,84,High,63,Moderate,62,Moderate,98,High,99,High,45,Moderate
candidate,7/31/2014,8,Low,82,High,84,High,58,Moderate,49,Moderate,82,Moderate,82,High,59,Moderate
candidate,7/22/2014,99,High,85,High,80,High,96,High,89,High,95,High,93,High,85,High
candidate,8/26/2014,5,Low,26,Low,73,High,97,High,91,High,75,Moderate,91,High,77,High
candidate,7/21/2014,70,Moderate,96,High,28,Moderate,97,High,62,Moderate,99,High,85,High,99,High
